Tura,Symbol,Koszt,Efekt skali,Oblozenie,Koszt w turze
1,f1,1,1,44,44
1,f2,1,1,44,44
1,s1,1,1,22,22
1,s2,1,1,22,22
1,s3,1,1,22,22
1,s4,1,1,22,22
1,m1,1,1,44,44
1,m2,1,1,44,44
1,r1,0.2,1,22,4.4
1,r2,0.5,1,22,11.0
1,r3,0.505,1,22,11.11
1,r4,0.26,1,22,5.720000000000001
1,r5,0.505,1,0,0.0
1,r6,0.38,1,22,8.36
1,r7,0.535,1,22,11.770000000000001
1,r8,0.35000000000000003,1,0,0.0
1,r9,0.485,1,0,0.0
1,r10,0.4,1,22,8.8
1,r11,0.6,1,22,13.2
1,r12,0.5700000000000001,1,0,0.0
2,f1,1,1,44,44
2,f2,1,1,44,44
2,s1,1,1,22,22
2,s2,1,1,22,22
2,s3,1,1,22,22
2,s4,1,1,22,22
2,m1,1,1,44,44
2,m2,1,1,44,44
2,r1,0.2,1,44,8.8
2,r2,0.5,1,0,0.0
2,r3,0.505,1,0,0.0
2,r4,0.26,1,44,11.440000000000001
2,r5,0.505,1,0,0.0
2,r6,0.38,1,22,8.36
2,r7,0.535,1,22,11.770000000000001
2,r8,0.35000000000000003,1,0,0.0
2,r9,0.485,1,22,10.67
2,r10,0.4,1,0,0.0
2,r11,0.6,1,0,0.0
2,r12,0.5700000000000001,1,22,12.540000000000001
3,f1,1,1,44,44
3,f2,1,1,44,44
3,s1,1,1,22,22
3,s2,1,1,22,22
3,s3,1,1,22,22
3,s4,1,1,22,22
3,m1,1,1,44,44
3,m2,1,1,44,44
3,r1,0.2,1,22,4.4
3,r2,0.5,1,22,11.0
3,r3,0.505,1,22,11.11
3,r4,0.26,1,22,5.720000000000001
3,r5,0.505,1,0,0.0
3,r6,0.38,1,22,8.36
3,r7,0.535,1,0,0.0
3,r8,0.35000000000000003,1,22,7.700000000000001
3,r9,0.485,1,22,10.67
3,r10,0.4,1,0,0.0
3,r11,0.6,1,22,13.2
3,r12,0.5700000000000001,1,0,0.0
4,f1,1,1,22,22
4,f2,1,1,66,66
4,s1,1,1,22,22
4,s2,1,1,22,22
4,s3,1,1,22,22
4,s4,1,1,22,22
4,m1,1,1,22,22
4,m2,1,1,66,66
4,r1,0.2,1,0,0.0
4,r2,0.5,1,22,11.0
4,r3,0.505,1,22,11.11
4,r4,0.26,1,44,11.440000000000001
4,r5,0.505,1,22,11.11
4,r6,0.38,1,0,0.0
4,r7,0.535,1,0,0.0
